Name,Address,Stars (Out of 10),Delivery Charges,Delivery Charges Description,Services Fee,Timing
JJ's Caribbean Cuisine,110 Little Avenue,9.9,$2.79 Delivery Fee,The $2.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 5:30 PM
Wine Rack,531 Bayfield St,9.9,$4.69 Delivery Fee,The $4.69 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $25.,NA,10:00 AM - 7:30 PM
Shawarma Place,477 Grove St E,8.6,$1.29 Delivery Fee,The $1.29 delivery fee is based on the drive time to your location.,NA,A 10% service fee applies ($1.99 min - $1.99 max). The exact amount of service fee will be displayed at checkout. Our service fee allows Skip to maintain strong service levels in order to better serve our local partners and continue to provide more variety to our customers.
Burger Royale,162 Napier Street,8.9,$1.99 Delivery Fee,The $1.99 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:15 AM - 7:30 PM
Swiss Chalet,397 Bayfield Street,9.2,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 8:30 PM
Valiant's Eatery,112 Dunlop St E,9.2,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),4:00 PM - 6:45 PM
Mr.Sub,29 Anne St S,9.1,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:00 AM - 9:00 PM
Sizzling Wok,110 Little Ave,9.4,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 9:30 PM
Wimpy's Diner,441 Dunlop Street West,9.4,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),8:15 AM - 8:15 PM
Tim Hortons,2 Quarry Ridge Rd,8.4,$1.49 Delivery Fee Over $5,Delivery is $1.49 based on the drive time to your location. You must have a food and beverage subtotal over $5 to order.,A 10% service fee applies ($1.99 min - $1.99 max),6:00 AM - 9:00 PM
Evviva Restaurant,89 Park Pl Blvd,10,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),7:00 AM - 3:00 PM
LCBO,587 Cundles Rd E,9.5,$4.99 Delivery Fee Over $15,Delivery is $4.99 based on the drive time to your location. You must have a food and beverage subtotal over $15 to order.,NA,11:00 AM - 7:45 PM
The Vegan Pantry,34 Ross St,9.0,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:00 AM - 4:30 PM
Ccokio,110 Little Ave,9.3,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,NA,A 10% service fee applies ($1.99 min - $1.99 max). The exact amount of service fee will be displayed at checkout. Our service fee allows Skip to maintain strong service levels in order to better serve our local partners and continue to provide more variety to our customers.
Fruit and Nut Co,110 Anne St S,9.3,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:00 AM - 6:30 PM
Fusion Burger Joint,29 Maple Ave,9.3,$4.99 Delivery Fee,The $4.99 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $30.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 PM - 7:30 PM
Lazy Tulip Cafe,151 Bradford St,9.3,$2.29 Delivery Fee,The $2.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),10:30 AM - 1:30 PM
Barrie Burger the Original,409 Yonge St,9.9,$3.29 Delivery Fee,The $3.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),9:00 AM - 8:30 PM
Cineplex Cinemas,License #1086483,8.6,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 PM - 9:45 PM
Freshii,347 Cundles Rd E,8.6,$1.59 Delivery Fee,The $1.59 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),9:00 AM - 8:00 PM
